64	17	59	42	80	7	48	79	68	31	39	41	65	32	12	31	79	51	90	59	77	78	39	48	58	58	42	67	82	71	19	61	36	57	32	90	3	29	99	87	22	99	61	26	47	30	29	67	38	83	70	19	12	70	19	50	83	50	98	31	97	70	44	59
57	80	96	91	45	45	67	65	67	79	94	41	69	91	93	76	30	78	48	67	84	53	96	64	85	10	78	66	31	3	19	83	34	92	8	46	47	33	30	67	30	96	66	32	18	68	99	64	37	21	43	19	93	35	91	65	34	34	29	18	63	51	9	60
93	33	9	13	22	93	51	32	11	100	65	65	13	37	37	8	17	42	82	53	37	15	51	91	42	16	39	14	91	97	11	82	78	12	3	75	80	76	54	8	98	15	24	5	26	80	97	56	73	12	13	34	83	34	38	70	33	49	70	2	86	16	80	57
63	67	90	5	75	68	4	63	72	42	10	41	73	27	48	29	71	76	74	55	26	96	77	15	62	36	61	19	61	41	49	84	17	1	43	50	49	48	48	22	84	9	82	44	44	58	68	70	62	28	19	84	63	50	57	14	65	25	95	26	80	66	97	25
85	92	82	62	59	28	20	51	93	69	82	69	83	90	15	25	62	97	26	95	19	50	91	81	39	60	28	10	47	49	27	24	80	94	90	24	3	86	80	12	16	98	14	80	76	29	71	97	27	60	38	12	58	47	6	40	43	34	12	82	92	19	2	88
66	54	77	38	63	62	72	79	28	57	31	77	36	15	15	49	68	48	74	75	42	63	14	93	5	43	100	49	51	1	23	64	8	68	85	95	12	3	82	16	88	77	60	39	16	97	8	33	48	61	86	10	80	80	84	76	75	10	30	42	28	8	76	31
99	47	19	53	75	27	57	41	32	47	90	17	25	82	7	5	25	11	46	14	51	28	62	55	45	37	35	17	2	88	87	16	59	90	16	13	87	58	87	83	16	96	30	78	25	3	6	58	8	69	78	59	44	55	35	50	83	15	23	11	51	9	30	40
9	10	60	19	29	59	18	67	55	6	29	34	76	28	31	6	45	41	38	53	3	19	82	69	29	31	40	38	86	4	80	73	32	21	70	60	1	36	81	64	77	18	3	58	15	76	70	76	34	71	89	39	29	85	56	78	64	28	47	54	13	49	51	22
53	36	96	42	36	6	5	7	27	23	12	6	90	29	89	32	61	75	97	37	20	64	39	19	37	32	11	34	20	51	11	2	25	31	25	26	98	93	86	77	45	75	10	28	94	38	42	85	36	66	65	7	37	1	96	55	97	1	26	25	90	15	56	66
75	64	20	60	18	43	54	5	46	44	92	33	58	45	20	32	61	94	61	96	94	92	72	39	28	98	61	40	44	31	67	94	1	17	18	74	17	76	57	9	48	66	95	15	70	80	89	86	88	14	82	81	6	39	54	36	18	67	100	78	24	29	1	49
25	47	78	18	10	23	54	48	96	76	98	84	25	24	14	55	34	34	42	100	46	61	17	65	3	28	33	95	11	41	81	99	27	75	72	21	7	15	9	78	85	78	96	77	83	59	33	16	73	9	86	43	92	75	91	21	22	82	33	75	61	65	7	68
43	24	62	86	85	54	90	58	4	90	64	31	24	38	7	86	92	27	82	18	85	96	80	42	20	99	30	26	13	6	51	96	57	94	85	6	24	72	8	19	41	40	44	51	82	73	32	42	79	59	44	66	59	99	45	84	48	82	4	95	79	43	53	39
8	92	45	41	53	67	52	43	33	7	9	48	14	44	11	98	97	36	65	9	42	62	63	45	22	37	46	67	94	39	24	21	49	83	58	75	67	13	2	5	68	16	15	84	32	68	2	95	77	62	86	97	56	69	86	22	68	13	90	13	74	33	94	7
57	98	70	86	12	8	60	83	63	32	31	89	77	77	60	30	52	12	88	89	77	31	81	96	92	14	100	63	7	77	16	7	7	36	2	9	12	98	42	42	72	42	1	64	61	53	31	57	50	48	59	60	16	12	40	14	71	49	88	23	89	51	13	25
