15	32	100	94	93	83	87	64	50	92	57	73	39	8	82	100
31	92	25	49	80	60	48	69	34	38	17	87	51	80	35	17
16	71	18	7	33	59	46	32	94	96	84	72	92	37	82	35
34	44	77	65	85	94	95	40	60	78	98	21	75	26	74	27
88	25	25	16	4	36	30	87	92	9	99	88	51	29	73	36
54	60	19	70	2	91	4	42	79	5	53	56	18	30	93	20
10	2	6	28	57	27	13	65	93	86	9	79	55	84	46	100
26	55	46	45	1	35	29	37	40	4	83	33	54	30	21	43
64	47	50	62	49	59	27	93	85	90	35	95	43	73	67	65
91	55	13	93	95	61	75	46	89	61	73	53	100	45	71	11
47	23	13	23	13	27	76	26	64	3	86	64	66	89	56	30
72	21	93	75	22	63	44	50	56	64	79	31	63	29	39	85
19	35	65	73	34	42	57	35	2	19	33	71	79	76	64	25
10	32	44	14	65	94	14	10	59	90	3	50	72	90	9	25
76	27	13	42	38	38	23	53	98	84	63	55	16	68	53	58
22	4	20	77	47	60	23	91	47	5	71	64	56	47	4	16
