38322	55197	58043	56239	52999	37391	46695	70694	54547	61523	49756	67041	38707	45843	48794	47159
37115	34410	47182	42361	33195	31908	37117	50915	45117	45349	33442	50021	30390	44861	41297	28172
34025	46144	45908	47285	45432	33920	31157	56588	42122	43055	33280	46217	25993	44063	42816	35318
37126	52435	51835	54428	52449	39375	39378	62604	50580	53005	43544	59284	32523	42318	47647	44206
31622	46898	38949	44426	36316	34450	33978	45683	43948	36418	35242	47812	23097	36906	42646	32076
27031	39251	39838	36975	35286	29859	27111	44246	37311	35344	30334	44284	20137	30329	35904	31390
31107	38453	38118	44129	30417	28719	34893	51443	36366	42753	28690	47260	25801	40357	33969	28865
20508	31162	29998	34775	29760	23516	22085	36329	32060	30762	28811	37384	20490	28427	32478	23215
42067	52047	55926	57024	43054	39696	45309	63883	51984	55909	41565	62206	33211	48661	48005	39760
42248	52651	53648	57080	46725	39759	40959	63594	54302	53793	45642	63617	36939	48609	53266	40090
26943	39093	33422	37406	33397	29163	27074	43409	43985	33378	31815	43625	23189	38622	38206	24776
30726	51731	46235	53844	43995	35491	36178	54314	44433	48772	42759	58898	30252	37937	42796	37716
24827	36912	41785	38767	30822	28038	32660	43260	45205	37485	30827	46208	28914	36470	39958	25993
27466	33949	39559	40132	30141	28093	30122	41320	29668	35590	22942	42772	21063	36146	29824	24930
34739	44072	41283	46644	36919	32630	32294	54249	40947	45175	35529	49274	23364	38059	36974	33779
24950	30745	34910	40054	26421	28809	32534	37115	37174	34853	29113	43194	25404	30228	36654	28305
