31	69	88	23	89	59	78	88	77	47	3	6	47	65	54	5	67	96	53	88	5	14	60	61	7	80	72	57	80	6	46	64	45	38	38	50	95	83	4	45	8	91	9	16	89	62	40	19	100	90	88	80	43	43	66	32	75	67	19	36	82	98	91	63	54	50	12	21	53	88	51	66	72	84	34	2	49	53	99	16	48	19	95	82	90	73	71	26	35	97	29	34	83	66	36	75	41	29	99	94
61	30	17	7	66	9	79	58	91	16	86	13	72	74	70	71	6	64	81	93	50	95	98	63	54	30	80	68	11	98	87	1	15	100	95	46	68	7	71	87	32	2	40	74	30	30	72	5	35	95	6	18	53	16	5	50	36	65	46	62	16	61	1	72	78	39	37	100	6	46	53	44	42	46	88	31	69	72	24	95	99	21	60	88	31	62	98	96	21	68	10	9	38	37	75	46	88	26	28	85
2	25	99	64	34	97	85	40	94	78	20	22	67	43	81	67	6	45	13	41	57	27	31	74	74	17	87	84	32	11	38	8	54	86	15	69	96	100	49	56	74	48	11	29	43	67	21	97	37	92	89	17	72	64	23	53	64	68	15	52	23	53	44	77	91	74	1	17	55	2	88	89	83	3	86	46	21	22	44	49	40	67	19	89	17	98	58	91	30	11	56	49	88	68	67	96	7	79	99	98
22	42	34	43	88	71	23	1	47	90	25	39	31	32	75	23	94	67	51	53	74	31	64	23	88	38	97	92	42	96	73	76	3	37	62	43	24	82	92	82	79	100	28	62	28	77	70	41	28	96	62	13	68	16	50	97	82	16	53	74	18	58	87	70	83	25	70	34	84	58	60	87	80	63	61	17	26	31	1	88	25	95	100	72	22	54	74	22	34	97	86	29	14	80	10	91	64	30	51	29
59	27	8	12	48	97	28	55	19	70	61	40	85	27	87	99	53	39	98	24	15	57	34	14	22	48	45	54	86	38	57	35	86	83	57	42	87	27	56	77	65	28	100	89	11	36	1	45	3	26	57	16	44	6	2	61	79	72	23	75	53	81	45	98	35	71	96	69	99	50	54	33	37	99	72	37	2	2	65	33	60	40	1	60	67	28	100	42	20	20	13	8	58	40	70	48	98	37	27	52
23	20	18	33	83	14	74	65	65	39	83	28	78	9	88	89	53	15	42	47	57	30	56	42	24	46	14	68	52	73	98	19	11	74	44	21	82	39	52	48	44	33	3	59	78	21	99	60	66	49	98	54	94	71	83	7	29	67	35	95	33	92	76	35	19	14	51	53	21	57	4	64	25	84	2	96	35	14	29	65	46	28	75	95	39	95	21	18	42	48	76	90	41	36	7	36	35	83	90	76
30	4	11	1	26	75	8	72	9	80	80	9	61	25	65	53	92	3	94	20	75	69	76	1	9	73	43	41	31	66	3	58	61	97	7	20	43	35	83	51	31	50	26	73	68	92	75	15	28	66	92	88	49	94	99	81	63	7	83	57	48	30	16	23	20	60	44	65	56	57	42	92	84	67	96	75	58	18	57	71	92	71	77	5	95	78	7	59	44	81	2	61	81	73	92	43	36	55	99	4
79	92	56	47	31	56	37	68	19	47	37	14	55	39	46	31	84	78	89	13	70	92	40	5	22	29	2	56	12	60	73	38	89	17	19	79	10	83	71	42	5	9	60	22	24	92	59	7	8	7	76	63	63	9	19	11	53	74	9	90	9	3	85	52	19	1	16	55	32	65	89	44	64	5	36	95	5	77	98	87	63	77	4	1	21	80	52	67	57	83	10	58	7	90	2	9	67	46	89	37
88	33	23	39	97	38	43	66	39	2	47	65	5	66	12	66	18	41	88	44	1	7	5	42	100	80	46	100	87	77	42	71	77	77	73	8	24	83	57	59	27	48	56	6	10	64	25	16	14	89	51	16	19	83	45	35	77	92	52	10	3	97	81	15	96	19	30	51	28	88	62	40	99	54	98	19	27	51	78	23	38	72	19	33	2	1	49	63	53	77	67	96	90	56	13	69	7	62	36	22
95	98	41	9	78	82	25	64	29	37	34	93	61	33	73	78	85	30	20	39	71	46	84	46	6	31	3	63	10	8	31	95	80	64	85	71	81	51	74	29	94	88	50	53	67	81	88	82	42	99	99	76	93	4	94	20	91	36	47	85	81	46	8	16	52	34	83	1	37	43	63	80	72	81	46	57	29	94	11	27	36	100	100	3	32	5	28	14	34	57	3	51	52	36	34	54	94	43	75	75
95	35	45	23	82	30	12	70	30	62	77	60	7	65	63	76	35	45	18	82	28	90	77	5	32	3	93	38	98	1	36	40	36	98	44	62	87	95	8	28	93	69	51	28	59	7	70	17	34	79	14	78	54	26	81	80	71	68	51	91	8	39	83	3	71	76	1	84	94	2	57	73	62	79	23	82	84	100	94	3	16	41	48	77	18	73	52	67	45	29	25	89	25	66	73	16	85	56	49	21
69	25	74	46	31	88	86	47	63	21	46	99	94	55	86	44	34	100	27	74	20	55	98	58	39	47	73	50	91	33	31	8	74	15	9	47	94	2	94	92	49	15	4	78	74	36	87	26	75	91	80	95	56	8	28	64	39	11	28	97	15	55	76	61	19	38	57	23	22	78	16	86	62	30	4	23	25	36	30	19	15	62	97	30	62	75	88	96	67	28	23	36	43	88	91	68	49	1	11	98
91	60	16	30	42	26	34	3	100	1	65	34	59	65	20	94	75	27	54	6	62	2	25	3	88	90	12	78	91	60	48	83	17	13	82	85	29	8	8	84	64	79	77	43	55	72	12	87	78	20	98	10	3	9	84	55	24	14	70	49	90	51	78	49	67	89	63	70	48	75	84	13	66	39	83	3	89	7	29	8	10	91	63	98	8	49	47	81	52	58	92	56	76	18	11	10	49	59	46	26
54	92	18	17	4	2	97	92	63	15	66	44	31	53	8	52	3	31	30	44	6	77	96	67	16	51	69	92	39	9	39	46	98	43	21	41	87	58	94	22	6	33	30	32	2	49	87	98	73	96	85	52	23	44	2	96	84	32	95	31	66	97	37	43	57	8	49	18	37	1	19	32	67	14	60	39	15	69	25	87	47	75	7	44	16	22	84	43	13	54	94	82	47	38	32	83	52	54	51	15
67	86	87	32	89	46	69	97	41	49	47	32	94	31	67	55	92	88	13	11	79	92	56	66	35	61	73	68	36	42	73	37	84	52	56	31	61	59	96	17	48	40	71	75	30	70	50	59	11	98	25	41	11	8	57	36	70	64	61	14	47	20	84	11	38	25	7	37	60	100	37	47	94	28	14	78	13	17	15	70	74	77	13	27	82	69	20	19	82	84	37	51	61	76	30	50	37	72	29	46
69	70	67	47	69	53	64	16	95	44	7	2	14	51	5	3	6	15	24	99	40	18	77	14	39	29	16	46	47	93	71	27	93	34	47	10	11	94	10	58	92	19	86	16	17	37	45	4	59	46	55	38	46	37	6	86	51	40	10	47	25	12	55	3	27	31	81	1	58	87	96	38	62	61	2	5	63	16	15	46	24	86	96	88	88	71	79	28	94	37	58	65	8	84	16	36	95	51	14	42
61	15	27	73	1	30	10	36	21	2	58	31	43	15	31	98	33	36	63	33	12	29	66	75	8	99	53	61	79	84	65	32	71	28	80	20	89	65	22	58	68	44	11	11	35	33	48	18	9	57	70	9	46	6	10	28	32	57	15	33	91	80	94	18	74	51	16	37	75	79	22	74	56	27	1	96	4	88	42	49	15	97	79	21	24	64	81	76	67	66	6	12	66	87	91	51	99	74	36	64
61	68	82	49	58	43	94	81	97	72	18	87	74	60	39	43	93	15	10	68	30	71	15	60	5	20	92	49	94	48	85	2	7	3	70	73	99	86	80	91	40	69	2	48	29	17	84	5	85	19	20	69	72	83	23	99	65	83	6	64	21	19	43	45	30	98	100	78	43	79	89	32	32	38	12	32	12	47	3	32	74	85	54	2	68	18	45	91	4	11	64	5	21	42	13	59	65	68	89	49
55	91	5	75	1	28	86	3	91	75	33	7	38	44	61	67	63	25	61	2	30	18	20	30	51	63	69	18	23	67	46	40	22	87	55	30	77	23	84	71	12	29	58	14	49	7	36	20	57	80	27	44	30	57	3	26	70	33	79	59	46	61	92	41	79	100	32	48	80	13	72	1	37	45	9	53	32	74	47	90	79	69	58	78	93	31	25	87	65	45	88	76	37	65	98	84	41	4	1	83
23	45	52	63	89	9	86	62	5	15	54	64	82	41	71	86	91	25	39	76	47	16	87	38	70	98	43	38	34	9	33	19	41	94	84	82	56	27	96	1	2	71	19	33	39	43	68	14	5	96	28	46	71	33	12	63	27	52	77	96	70	58	6	53	88	89	28	2	34	61	23	31	6	20	79	12	78	20	13	1	84	82	37	94	72	72	54	67	21	16	4	1	58	81	8	81	58	8	30	37
14	84	85	67	16	58	65	100	75	25	77	50	6	79	2	27	69	81	72	84	41	40	47	70	52	90	44	63	16	37	33	65	3	28	9	18	86	37	45	96	98	32	9	54	35	14	28	70	99	60	50	44	30	46	56	99	95	87	86	62	98	17	9	85	87	31	74	52	2	36	80	15	53	23	16	57	80	91	64	98	39	72	37	45	2	23	92	12	60	96	40	54	50	82	13	3	45	72	27	81
87	41	26	78	44	77	96	66	48	66	72	36	26	45	14	23	4	74	27	7	15	79	30	24	51	1	9	15	22	85	5	11	58	25	100	54	41	31	7	71	28	6	70	26	96	97	54	12	28	67	58	44	36	45	92	59	43	62	75	7	1	14	76	54	1	52	10	9	74	8	29	55	27	32	35	77	6	27	96	85	21	57	83	35	78	35	68	70	50	79	10	64	67	90	50	92	44	48	61	80
31	69	88	75	24	49	14	41	94	26	33	8	78	88	52	95	44	63	73	29	12	19	48	47	78	66	60	13	61	9	54	67	6	15	44	35	6	42	83	86	51	94	5	90	26	45	59	11	52	88	89	65	71	60	96	32	3	2	68	18	17	28	39	72	16	99	34	75	53	92	86	98	60	69	94	21	83	18	15	61	87	25	79	99	29	78	17	21	73	88	39	83	5	7	84	77	1	46	6	78
77	73	61	91	13	45	6	33	74	18	48	60	76	40	66	88	79	90	25	41	6	55	20	58	16	79	54	27	6	40	88	37	64	36	44	5	4	89	38	31	29	24	97	7	44	3	30	75	15	49	76	16	2	71	52	4	64	63	35	62	92	91	78	93	24	4	74	6	49	91	38	23	88	97	77	7	2	52	84	63	93	45	95	63	53	21	94	65	18	98	11	24	25	35	52	63	40	18	91	84
95	83	55	35	61	6	2	6	94	96	47	81	67	61	40	43	24	7	22	71	56	13	86	80	68	98	57	24	36	8	1	91	2	48	82	76	46	31	44	54	59	62	68	15	61	4	34	84	83	2	81	83	24	89	94	79	15	37	57	92	44	61	90	41	56	60	47	5	12	26	70	28	67	77	70	61	53	75	44	80	2	20	14	12	33	100	18	77	96	30	67	5	15	90	69	71	85	5	33	49
28	84	43	39	67	77	39	97	90	76	17	33	56	87	88	5	44	59	7	69	100	44	25	89	86	82	22	2	36	33	37	79	81	6	95	93	31	83	9	69	95	45	34	74	90	61	74	10	60	22	77	45	85	87	43	26	87	78	86	68	18	47	87	3	70	80	51	67	19	31	64	11	48	89	85	66	17	57	80	91	64	51	52	50	6	78	59	4	16	30	45	42	84	27	98	100	83	52	10	72
33	22	30	58	71	2	56	91	50	53	81	35	1	95	16	95	18	79	53	14	26	35	56	74	89	89	49	15	42	66	62	72	65	99	57	76	86	52	25	66	57	47	80	23	25	18	74	98	42	59	46	69	38	19	84	78	34	18	99	21	24	25	14	15	2	14	51	27	39	97	61	65	79	66	54	22	41	97	63	39	20	7	100	12	99	9	62	43	83	74	75	2	76	72	3	13	65	35	17	85
1	27	4	87	46	77	62	87	89	28	92	87	31	67	35	46	39	55	91	34	34	17	80	17	40	63	39	36	31	33	10	56	2	46	67	52	50	63	83	99	82	14	53	47	98	47	22	67	1	72	80	98	80	66	51	19	84	99	7	58	48	78	98	53	40	89	100	99	30	81	97	46	54	79	56	77	85	81	40	93	1	15	88	39	99	79	90	92	4	69	62	82	31	75	18	69	19	42	72	4
4	26	4	38	5	93	35	43	82	81	95	32	64	1	97	31	20	67	83	54	66	40	80	85	16	68	75	47	85	44	12	7	26	93	54	48	43	60	23	57	84	23	91	88	88	13	93	89	70	6	27	50	87	8	23	80	4	18	16	60	17	80	82	70	65	32	35	75	40	2	7	43	40	45	34	81	75	90	96	7	59	37	16	69	82	97	95	41	76	45	37	54	17	42	61	33	12	37	28	93
13	84	7	9	76	61	18	92	41	76	40	7	77	16	74	26	21	37	66	59	91	4	32	97	92	12	20	79	85	15	72	44	55	2	83	3	30	30	12	53	73	77	76	8	65	36	96	28	60	49	6	79	75	11	54	41	65	20	82	45	95	53	35	33	51	30	51	40	38	27	31	68	76	55	36	32	21	58	77	83	46	58	20	74	65	58	83	33	38	65	89	14	77	19	4	84	20	16	53	12
40	61	51	85	39	28	24	5	66	87	18	54	93	95	71	10	89	23	55	30	27	98	28	84	53	8	50	99	14	13	42	4	4	66	30	29	92	75	56	92	60	91	28	93	74	30	52	19	16	39	18	75	47	58	29	21	73	98	52	99	36	42	90	81	70	4	55	78	93	10	74	63	98	89	17	47	7	3	41	3	33	31	18	41	31	73	96	30	12	57	56	84	9	100	82	90	80	91	65	91
72	88	18	61	80	67	46	50	47	58	14	43	71	20	14	83	9	42	45	34	48	37	50	47	40	46	38	54	9	41	15	35	11	62	79	76	34	18	21	99	13	97	18	25	70	46	23	4	1	58	61	24	46	44	65	39	9	61	41	63	53	44	67	61	63	11	76	53	42	2	85	99	57	13	69	72	30	93	2	50	48	98	70	82	57	78	59	18	40	1	80	36	82	47	98	19	74	43	40	79
91	93	37	90	7	36	4	90	32	42	63	89	9	32	62	29	87	69	55	97	55	88	79	40	24	2	91	13	47	58	38	10	34	52	89	75	62	5	72	76	36	22	58	27	34	87	9	40	40	75	18	45	100	39	12	95	80	75	60	93	32	8	69	25	77	96	17	51	47	49	16	72	66	71	78	53	90	99	34	94	67	15	16	70	15	12	99	26	29	99	55	56	77	1	55	53	4	83	8	2
