44	55	45	92	73	24	61	88	96	14	9	70	6	99	57	58	99	58	35	92	91	88	15	19	92	24	28	9	48	17	76	96
70	98	39	10	56	72	4	57	83	84	61	91	52	12	51	23	20	40	21	8	61	85	78	49	96	51	13	27	64	35	12	13
58	7	79	37	71	20	35	35	91	54	25	29	7	61	60	6	85	88	55	30	67	22	89	77	79	14	47	70	51	65	71	2
21	11	34	99	42	51	65	61	54	61	69	72	72	29	26	94	40	27	25	22	62	74	90	54	64	46	5	30	92	77	48	49
56	22	15	56	22	68	45	39	85	45	41	89	87	7	43	86	40	46	70	72	78	8	25	26	91	76	91	100	3	50	72	68
69	56	86	100	24	43	83	88	80	26	27	30	47	79	25	24	32	51	34	69	54	84	78	31	94	23	86	14	40	3	51	19
45	88	96	34	24	2	39	42	29	32	7	6	15	12	15	61	16	45	85	80	12	90	49	85	31	76	10	9	39	60	60	35
81	9	5	23	11	68	51	41	31	41	53	58	21	79	38	68	19	54	67	70	12	11	13	45	42	28	58	23	36	2	26	68
78	99	68	64	88	61	9	92	5	22	17	58	32	86	53	79	21	77	2	29	94	80	33	40	31	1	56	27	16	31	40	66
35	64	96	67	22	85	16	48	31	36	85	9	27	74	5	38	50	24	59	78	25	92	72	67	65	65	98	50	42	53	94	30
30	17	75	100	33	51	89	27	80	40	11	82	22	4	16	47	34	13	34	4	62	63	98	91	7	98	62	41	28	21	71	69
34	59	46	95	34	99	25	27	44	80	17	91	27	57	49	53	19	43	56	50	45	8	76	98	93	43	59	67	27	52	9	2
17	44	1	7	78	84	36	67	8	71	38	8	83	25	82	3	59	99	58	98	58	22	70	80	53	17	38	8	15	24	65	74
24	46	80	79	13	76	25	96	38	81	82	96	56	43	68	97	56	51	20	13	2	88	23	37	33	17	89	53	6	5	19	16
100	38	77	74	39	40	6	26	16	38	64	72	94	19	95	6	48	11	52	71	32	51	61	43	77	94	35	14	23	70	56	1
89	64	10	61	77	5	98	51	5	19	13	74	88	59	39	67	47	46	74	16	69	18	2	77	8	27	44	72	93	51	72	1
6	58	33	32	87	80	14	3	63	78	40	32	32	75	67	10	50	10	11	89	28	35	39	67	9	90	28	100	84	91	99	95
22	64	4	62	38	36	87	44	55	18	97	37	21	5	2	14	86	72	21	80	50	92	33	73	38	37	92	17	20	38	68	6
27	100	12	49	81	69	65	57	26	1	71	46	34	77	31	22	81	14	5	30	46	71	45	65	10	12	92	55	61	42	70	76
1	59	15	12	13	98	88	7	71	25	27	51	48	10	81	11	79	86	74	63	37	41	100	23	58	85	7	49	1	50	29	85
52	8	72	4	68	34	98	61	32	81	64	41	38	21	94	65	61	83	13	27	79	68	28	90	11	8	31	18	45	37	87	100
20	57	88	86	49	38	69	58	93	99	57	46	11	47	87	46	74	32	71	57	44	12	24	11	77	29	66	90	80	33	77	12
67	11	33	6	27	33	97	83	13	65	26	51	5	69	4	95	11	28	60	90	90	55	71	20	29	36	81	81	93	45	89	39
24	71	82	77	63	37	31	96	27	29	93	62	15	92	69	99	81	23	97	74	25	72	46	91	11	50	93	20	39	69	9	74
16	33	68	78	67	12	87	39	80	9	3	73	42	59	45	2	3	25	22	67	73	36	91	3	64	77	91	47	30	19	55	8
18	79	22	91	6	92	42	69	15	46	38	36	95	44	26	35	1	100	57	61	28	27	5	15	41	25	19	41	57	24	86	62
77	14	100	36	1	8	63	71	72	87	89	1	90	15	36	96	66	57	87	14	75	81	38	5	97	83	48	90	1	18	28	34
52	8	51	10	14	73	58	51	66	71	38	29	31	79	7	60	16	63	3	46	62	78	54	34	60	68	34	28	94	100	23	94
49	22	45	33	80	7	40	70	20	56	68	51	23	62	62	30	52	95	30	89	83	59	28	47	56	70	76	76	28	51	43	93
73	23	48	62	84	25	43	49	51	41	64	50	31	81	54	20	69	46	90	4	46	93	98	93	65	47	6	86	19	32	63	86
56	75	71	3	67	28	77	23	98	45	100	4	94	27	15	5	71	77	92	78	39	70	43	24	51	66	97	61	95	17	70	26
92	84	68	91	1	92	96	43	10	21	84	72	12	10	17	34	54	43	21	6	21	18	96	4	58	37	59	56	87	47	13	12
