20	25	98	35	8	91	22	53	100	59	57	68	11	23	62	28	25	12	35	74	89	43	84	5	88	8	18	67	8	100	99	26
35	54	20	42	31	79	49	90	68	56	34	11	82	49	14	54	62	66	6	57	54	91	78	75	46	69	91	85	73	97	37	54
29	99	3	89	33	40	45	18	87	31	66	95	32	17	82	7	72	10	41	6	19	44	26	35	47	3	94	14	3	50	18	28
77	81	64	95	63	91	47	39	56	46	59	63	97	68	18	75	49	37	63	8	48	2	44	35	27	58	48	14	92	11	29	83
31	31	62	65	32	86	90	49	23	56	9	1	16	54	32	94	46	13	26	11	82	100	84	83	68	51	79	45	30	48	74	55
43	62	64	40	24	93	69	82	33	38	58	73	55	27	50	77	50	81	14	93	43	74	94	20	98	81	81	1	40	14	8	87
26	40	76	100	85	2	60	2	81	20	26	36	62	74	54	95	76	19	40	70	4	10	99	34	67	59	41	32	87	70	2	18
9	98	12	51	13	65	50	61	15	41	2	97	73	83	66	27	6	75	34	72	46	75	94	58	56	53	83	87	72	54	30	91
95	11	82	56	86	37	97	84	78	29	3	5	76	18	84	78	82	38	68	8	54	86	74	30	91	39	95	9	48	39	49	40
30	70	72	93	65	51	3	20	22	2	98	69	71	59	75	70	44	24	38	6	45	1	28	56	44	13	86	50	1	29	92	46
31	24	84	66	63	94	23	13	77	8	62	18	73	79	66	4	39	43	7	21	30	54	76	48	54	11	22	79	98	34	73	82
45	11	21	62	15	5	55	32	34	23	83	60	74	23	97	5	83	39	1	74	44	14	86	22	39	18	90	77	3	53	82	32
47	25	80	70	92	67	19	11	50	19	25	16	89	48	8	75	86	43	30	60	1	68	54	39	84	65	15	38	92	21	64	31
9	10	33	59	79	42	31	54	22	28	21	75	67	22	33	97	5	73	45	76	85	26	60	73	8	99	33	92	59	98	33	94
54	52	19	51	74	15	5	51	69	98	62	70	25	95	75	29	59	59	12	43	4	97	69	29	73	63	40	55	3	59	52	70
20	81	25	97	56	92	31	72	70	7	38	29	86	29	36	1	2	34	51	93	89	78	61	56	59	37	49	5	60	25	14	58
2	12	27	48	70	35	95	33	26	80	67	1	37	89	11	65	85	50	11	14	24	39	38	26	26	72	84	52	40	29	43	58
51	9	6	2	81	84	7	18	53	42	66	60	17	73	36	85	18	10	94	24	38	94	30	6	62	19	40	82	46	39	28	86
89	82	20	28	93	21	88	65	45	10	46	59	1	97	80	88	51	23	98	99	89	26	37	56	88	3	49	56	65	15	2	60
2	18	27	68	73	21	30	3	54	58	40	50	82	100	61	6	61	5	69	46	83	86	55	78	57	49	33	79	55	11	52	80
91	14	55	35	93	56	53	43	90	86	90	73	32	64	59	89	99	72	72	89	78	25	13	32	11	25	37	43	70	26	54	79
59	16	55	34	93	62	35	9	83	54	52	2	86	36	89	36	13	29	13	75	43	73	50	93	82	63	78	8	27	92	3	53
97	96	3	84	86	73	90	56	71	80	52	34	96	24	1	49	82	73	89	72	51	46	5	51	3	1	26	13	11	6	50	52
63	71	89	59	49	3	14	15	70	49	21	89	92	6	82	84	51	92	38	11	35	36	99	13	24	2	53	13	40	3	35	43
52	28	90	11	51	93	94	11	40	54	99	47	22	63	74	54	91	41	100	3	37	2	95	52	38	90	39	83	36	96	57	66
79	93	56	35	15	54	32	1	43	4	80	36	21	71	37	31	93	47	87	96	83	43	45	95	64	65	49	25	16	87	36	67
54	76	35	32	19	4	8	62	3	24	72	48	96	91	70	47	28	45	14	19	4	46	38	32	30	14	95	68	8	37	44	67
62	57	34	62	55	19	90	51	66	84	16	11	7	43	19	3	96	14	38	37	85	13	82	95	86	30	29	20	46	79	89	24
25	43	3	79	3	68	85	85	27	84	14	90	61	88	30	77	45	37	21	35	84	79	76	96	64	50	68	13	72	60	63	63
31	94	13	36	38	46	89	67	99	19	51	66	24	53	94	51	3	31	11	94	2	42	44	37	18	66	94	63	57	14	86	32
90	94	54	47	8	64	66	92	19	56	76	36	40	72	87	34	93	21	7	24	74	47	25	42	40	86	80	43	64	46	78	86
79	6	10	54	44	52	43	77	11	73	59	14	3	21	43	31	74	46	94	10	52	69	82	96	73	74	66	96	74	76	15	23
