65	97	48	63	25	65	34	23	51	39	75	92	23	38	40	21
79	4	78	40	68	22	3	98	42	82	55	44	39	92	60	10
9	97	77	83	46	14	88	47	53	45	49	91	19	16	67	25
10	27	80	71	30	5	35	84	84	96	82	97	87	22	79	51
60	19	37	46	9	26	81	81	31	61	47	67	37	25	43	48
34	57	76	41	90	94	35	27	14	39	25	81	12	33	7	83
56	34	28	1	85	13	19	63	95	64	71	62	63	93	31	7
83	18	49	82	18	84	98	38	59	80	14	48	45	40	53	63
55	79	28	79	59	1	44	88	15	43	37	85	4	62	58	18
48	41	78	69	60	33	15	84	16	85	14	5	21	35	5	63
12	64	26	73	83	65	9	76	74	41	78	28	8	10	74	94
21	44	90	15	9	4	67	41	87	18	53	55	51	83	74	5
8	60	40	86	28	48	36	7	29	7	7	58	67	69	83	5
56	39	52	71	13	70	53	77	98	65	18	74	21	87	51	17
25	87	51	14	60	50	32	84	75	29	7	20	3	5	47	73
22	64	15	54	62	35	22	97	23	84	83	98	49	62	10	45
